Curs,Estudi,Codi àrea territorial,Àrea territorial,Codi comarca,Comarca,Codi municipi,Municipi,Codi districte,Districte,Naturalesa,Titularitat,Nivell,Sexe,Concert,Resultat de l'avaluació,Alumnes avaluats
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,1,DONA,SI,NO PROMOCIONEN,4
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,1,DONA,SI,PROMOCIONEN AMB PENDENTS,24
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,1,DONA,SI,PROMOCIONEN SENSE PENDENTS,54
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,1,HOME,SI,NO PROMOCIONEN,5
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,1,HOME,SI,PROMOCIONEN AMB PENDENTS,36
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,1,HOME,SI,PROMOCIONEN SENSE PENDENTS,55
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,2,DONA,SI,NO PROMOCIONEN,4
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,2,DONA,SI,PROMOCIONEN AMB PENDENTS,27
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,2,DONA,SI,PROMOCIONEN SENSE PENDENTS,53
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,2,HOME,SI,NO PROMOCIONEN,10
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,2,HOME,SI,PROMOCIONEN AMB PENDENTS,41
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,2,HOME,SI,PROMOCIONEN SENSE PENDENTS,43
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,3,DONA,SI,NO PROMOCIONEN,2
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,3,DONA,SI,PROMOCIONEN AMB PENDENTS,25
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,3,DONA,SI,PROMOCIONEN SENSE PENDENTS,59
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,3,HOME,SI,NO PROMOCIONEN,6
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,3,HOME,SI,PROMOCIONEN AMB PENDENTS,40
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,3,HOME,SI,PROMOCIONEN SENSE PENDENTS,42
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,4,DONA,SI,NO PROMOCIONEN,18
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,4,DONA,SI,PROMOCIONEN SENSE PENDENTS,77
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,4,HOME,SI,NO PROMOCIONEN,14
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,4,HOME,SI,PROMOCIONEN SENSE PENDENTS,77
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PRIVAT,ORDES I CONGREGACIONS CATÒLICS,4,NINF,SI,PROMOCIONEN AMB PENDENTS,5
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,1,DONA,,NO PROMOCIONEN,3
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,1,DONA,,PROMOCIONEN AMB PENDENTS,42
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,1,DONA,,PROMOCIONEN SENSE PENDENTS,103
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,1,HOME,,NO PROMOCIONEN,9
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,1,HOME,,PROMOCIONEN AMB PENDENTS,65
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,1,HOME,,PROMOCIONEN SENSE PENDENTS,113
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,2,DONA,,NO PROMOCIONEN,4
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,2,DONA,,PROMOCIONEN AMB PENDENTS,51
2023/2024,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,CIUTAT VELLA,PÚBLIC,DEPARTAMENT D'EDUCACIÓ,2,DONA,,PROMOCIONEN SENSE PENDENTS,105
