Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
1.,Alumnes del curs origen 2017-2018 segons els ensenyaments de destinació 2018-2019,,,,,,,,,,,,,
,"Catalunya, 2018-2019",,,,,,,,,,,,,nombre d'alumnes
Alumnes ensenyaments ,,,,,,,Ensenyaments destinació 2018-2019,,,,,,,
origen 2017-2018,,Alumnes,3r ESO,4t ESO,1r BATX,2n BATX,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,78428,73696,3604,69928,,,162,,,,2,,,
4t ESO,71722,63087,,3029,43799,,15880,,,,379,,,
1r BATX,48958,46081,,3,3427,38616,3764,118,52,,93,1,7,
2n BATX,43483,11806,,,7,4018,377,35,6858,27,11,1,472,
1r CFPM,36070,26545,,1,227,57,7247,16765,2115,92,38,1,2,
2n CFPM,24153,14825,,,55,16,788,6932,6854,149,7,,23,1
1r CFPS,30122,25295,,,3,6,107,46,2629,22486,1,,14,3
2n CFPS,31075,8816,,,5,3,119,19,1015,7620,,,31,4
1r CFAM,779,622,,,9,1,17,,,,98,492,5,
2n CFAM,596,353,,,,1,9,,9,1,3,118,206,6
1r CFAS,1718,1381,,,,,6,,24,2,1,3,222,1123
2n CFAS,1959,855,,,,,3,,32,4,1,,78,737
Alumnes,369063,273362,3604,72961,47532,42718,28479,23915,19588,30381,634,616,1060,1874
"Font: Departament d'Educació, Estadística de trajectòries educatives",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2.,Distribució dels alumnes del curs origen 2017-2018 segons els ensenyaments de destinació 2018-2019,,,,,,,,,,,,,
,"Catalunya, 2018-2019",,,,,,,,,,,,,%
Alumnes ensenyaments ,,,,,,,Ensenyaments destinació 2018-2019,,,,,,,
origen 2017-2018,,Distribució total ,3r ESO,4t ESO,1r BATX,2n BATX,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,100,93.96644055694395,4.595297597796706,89.1620339674606,0,0,0.20655888203192735,0,0,0,0.002550109654715153,0,0,0
4t ESO,100,87.96045843674186,0,4.22325088536293,61.067733749756,0,22.14104458882909,0,0,0,0.5284292127938429,0,0,0
1r BATX,100,94.12353445810696,0,0.00612770129498754,6.999877445974101,78.87577106907962,7.6882225581110335,0.24102291760284325,0.10621348911311736,0,0.18995874014461375,0.00204256709832918,0.014297969688304261,0
2n BATX,100,27.150840558379137,0,0,0.016098245291263254,9.240392797185107,0.8670054964008923,0.08049122645631626,15.77168088678334,0.06209323183772969,0.025297242600556536,0.002299749327323322,1.0854816824966078,0
1r CFPM,100,73.59301358469642,0,0.002772387025228722,0.6293318547269199,0.15802606043803716,20.091488771832548,46.47906847795952,5.863598558358747,0.2550596063210424,0.10535070695869143,0.002772387025228722,0.005544774050457444,0
2n CFPM,100,61.379538773651305,0,0,0.2277149836459239,0.06624435887881422,3.2625346747816004,28.700368484246262,28.377427234712044,0.6169005920589575,0.028981907009481226,0,0.09522626588829546,0.004140272429925889
1r CFPS,100,83.97516765155035,0,0,0.009959498041298719,0.019918996082597437,0.35522209680632094,0.1527123032999137,8.72784011685811,74.64975765221433,0.0033198326804329066,0,0.04647765752606069,0.009959498041298719
