Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
1.,Alumnes del curs origen 2019-2020 segons els ensenyaments de destinació 2020-2021,,,,,,,,,,,,,
,"Catalunya, 2020-2021",,,,,,,,,,,,,nombre d'alumnes
Alumnes ensenyaments ,,,,,,,Ensenyaments destinació 2020-2021,,,,,,,
origen 2019-2020,,Alumnes,3r ESO,4t ESO,1r BATX,2n BATX,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,83663,79967,1700,78161,,,,,,,,,,
4t ESO,79261,69840,,2124,48328,,18860,,,,430,,,
1r BATX,50627,48292,,,2034,43311,2733,74,31,1,89,10,3,
2n BATX,43810,10072,,,1,1863,364,20,7309,35,7,,472,1
1r CFPM,38009,29310,,,232,39,6765,19205,2954,86,28,,1,
2n CFPM,24779,15882,,,35,6,748,5932,8944,180,6,1,29,1
1r CFPS,31990,27662,,,6,3,101,26,2096,25416,,1,12,1
2n CFPS,32216,8256,,,2,1,124,31,1034,7034,1,,26,3
1r CFAM,749,660,,,6,12,20,,,,95,523,4,
2n CFAM,668,411,,,3,,10,1,18,,9,129,222,19
1r CFAS,1746,1424,,,,,6,1,20,2,2,5,223,1165
2n CFAS,1940,845,,,,,4,,38,4,1,1,75,722
Alumnes,389458,292621,1700,80285,50647,45235,29735,25290,22444,32758,668,670,1067,1912
"Font: Departament d'Educació, Estadística de trajectòries educatives",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
2.,Distribució dels alumnes del curs origen 2019-2020 segons els ensenyaments de destinació 2020-2021,,,,,,,,,,,,,
,"Catalunya, 2020-2021",,,,,,,,,,,,,%
Alumnes ensenyaments ,,,,,,,Ensenyaments destinació 2020-2021,,,,,,,
origen 2019-2020,,Distribució total ,3r ESO,4t ESO,1r BATX,2n BATX,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,100,95.45557773448238,2.03196156006837,93.42361617441401,0,0,0,0,0,0,0,0,0,0
