origen 2018-2019,Total,Alumnes,3r ESO,4t ESO,1r BATX,2n BATX,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,81743,76629,3296,73333,0,0,0,0,0,0,0,0,0,0
4t ESO,75394,66238,0,2966,45359,0,17514,0,0,0,399,0,0,0
1r BATX,49079,46162,0,2,3283,39132,3489,111,50,0,90,1,4,0
2n BATX,43505,11530,0,0,7,3770,353,18,6920,14,8,0,440,0
1r CFPM,37145,27651,0,1,237,30,7477,17298,2488,89,26,1,3,1
2n CFPM,24360,15248,0,0,68,12,671,6647,7672,145,13,1,19,0
1r CFPS,31001,26326,0,0,8,3,100,23,2570,23599,1,0,18,4
2n CFPS,31377,8690,0,0,3,3,101,32,1007,7508,0,0,31,5
1r CFAM,813,610,0,0,3,2,27,1,1,0,91,471,14,0
2n CFAM,640,444,0,0,2,1,10,0,7,0,2,179,236,7
1r CFAS,1814,1387,0,0,1,1,3,0,34,2,1,1,194,1150
2n CFAS,1949,828,0,0,0,0,5,1,32,6,2,3,73,706
Alumnes,378820,281743,3296,76302,48971,42954,29750,24131,20781,31363,633,657,1032,1873
