origen 2023-2024,,Alumnes,3r ESO,4t ESO,1r BATX,2n BATX,CFPB,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,87773,84095,2428,81134,0,0,504,29,0,0,0,0,0,0,0
4t ESO,88710,76281,0,3404,49372,0,28,22933,17,0,0,527,0,0,0
1r BATX,53063,50952,0,0,2901,44037,0,3677,194,29,0,99,11,4,0
2n BATX,47247,12287,0,0,0,2656,0,481,60,8622,0,16,0,452,0
1r CFPM,46837,37164,0,0,221,61,0,9591,24881,2324,42,35,3,5,1
2n CFPM,30178,19879,0,0,37,6,0,606,6492,12545,114,12,0,67,
1r CFPS,37598,32184,0,0,2,1,0,101,18,2620,29416,1,0,24,1
2n CFPS,34909,8393,0,0,2,0,0,107,10,914,7329,1,0,30,0
1r CFAM,989,815,0,0,14,1,0,28,2,9,0,104,610,46,1
2n CFAM,779,578,0,0,2,6,0,10,0,72,0,3,119,364,2
1r CFAS,1776,1490,0,0,0,0,0,5,1,43,1,2,3,165,1270
2n CFAS,2160,928,0,0,0,0,0,2,0,43,10,2,1,75,795
Alumnes,432019,325046,2428,84538,52551,46768,532,37570,31675,27221,36912,802,747,1232,2070
