origen 2016-2017,Total,Alumnes,3r ESO,4t ESO,1r BATX,2n BATX,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,75592,70434,4106,66328,0,0,0,0,0,0,0,0,0,0
4t ESO,69936,61374,0,3258,43105,0,14659,0,0,0,352,0,0,0
1r BATX,49225,46127,0,0,3818,38437,3541,111,86,0,124,4,6,0
2n BATX,42058,11788,0,0,15,4165,369,32,6762,14,10,1,420,0
1r CFPM,35161,25331,0,0,261,66,7381,15964,1558,68,27,0,6,0
2n CFPM,23749,14097,0,0,70,20,878,7274,5689,140,10,0,15,1
1r CFPS,30322,25376,0,0,7,7,110,41,2484,22712,0,1,12,2
2n CFPS,28622,8181,0,0,4,6,101,27,1026,6983,0,0,33,1
1r CFAM,705,592,0,0,7,1,12,0,3,0,97,465,6,1
2n CFAM,550,339,0,0,1,0,4,3,12,0,3,118,184,14
1r CFAS,1580,1246,0,0,2,2,2,0,27,1,2,4,175,1031
2n CFAS,1974,896,0,0,0,0,5,1,24,3,1,0,74,788
Alumnes,359474,265781,4106,69586,47290,42704,27062,23453,17671,29921,626,593,931,1838
