Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
1.,Alumnes del curs origen 2018-2019 segons els ensenyaments de destinació 2019-2020,,,,,,,,,,,,,
,"Catalunya, 2019-2020",,,,,,,,,,,,,nombre d'alumnes
Alumnes ensenyaments ,,,,,,,Ensenyaments destinació 2019-2020,,,,,,,
origen 2018-2019,,Alumnes,3r ESO,4t ESO,1r BATX,2n BATX,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
1r BATX,,16.384435460685804,0,0.0026211632722602293,6.703967654326029,91.10210923313312,11.727731092436974,0.4599892254776014,0.24060439824839996,0,14.218009478672986,0.15220700152207,0.3875968992248062,0
2n BATX,,4.092382064505595,0,0,0.014294174103040574,8.776831028542162,1.1865546218487395,0.07459284737474618,33.299648717578556,0.04463858686987852,1.263823064770932,0,42.63565891472868,0
1r CFPM,,9.814263353481719,0,0.0013105816361301146,0.4839598946315167,0.06984215672579969,25.1327731092437,71.68372632713108,11.972474856840384,0.28377387367279916,4.107424960505529,0.15220700152207,0.29069767441860467,0.05339028296849973
2n CFPM,,5.4120244336150325,0,0,0.13885769128667988,0.027936862690319877,2.2554621848739496,27.545480916663212,36.91833886723449,0.46232822115231326,2.0537124802527646,0.15220700152207,1.8410852713178296,0
1r CFPS,,9.343976602790487,0,0,0.016336198974903515,0.006984215672579969,0.33613445378151263,0.09531308275662012,12.367066069967759,75.24471511016165,0.1579778830963665,0,1.744186046511628,0.21356113187399892
2n CFPS,,3.084371217740991,0,0,0.006126074615588818,0.006984215672579969,0.33949579831932775,0.13260950644399322,4.845772580722776,23.93903644421771,0,0,3.003875968992248,0.2669514148424987
1r CFAM,,0.21650937201634113,0,0,0.006126074615588818,0.004656143781719979,0.0907563025210084,0.004144047076374788,0.004812087964967999,0,14.375987361769353,71.68949771689498,1.3565891472868217,0
2n CFAM,,0.1575904281561565,0,0,0.004084049743725879,0.0023280718908599896,0.03361344537815126,0,0.03368461575477599,0,0.315955766192733,27.24505327245053,22.868217054263564,0.37373198077949815
1r CFAS,,0.492292621289615,0,0,0.0020420248718629394,0.0023280718908599896,0.010084033613445379,0,0.163610990808912,0.006376940981411217,0.1579778830963665,0.15220700152207,18.7984496124031,61.398825413774695
2n CFAS,,0.29388485250742696,0,0,0,0,0.01680672268907563,0.004144047076374788,0.15398681487897597,0.01913082294423365,0.315955766192733,0.45662100456621,7.073643410852713,37.69353977576081
Total,,100,100,100,100,100,100,100,100,100,100,100,100,100
"Font: Departament d'Educació, Estadística de trajectòries educatives",,,,,,,,,,,,,,
