Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
1.,Alumnes del curs origen 2022-2023 segons els ensenyaments de destinació 2023-2024,,,,,,,,,,,,,,
,"Catalunya, 2023-2024",,,,,,,,,,,,,,nombre d'alumnes
Alumnes ensenyaments ,,,,,,,Ensenyaments destinació 2023-2024,,,,,,,,
origen 2022-2023,,Alumnes,3r ESO,4t ESO,1r BATX,2n BATX,CFPB,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
Alumnes ensenyaments ,,,,,,,Ensenyaments destinació 2023-2024,,,,,,,,
origen 2022-2023,,Distribució total ,3r ESO,4t ESO,1r BATX,2n BATX,CFPB,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,100,95.60471809921555,2.3703369264631187,92.74225407754389,0,0,0.49212709520853315,0,0,0,0,0,0,0,0
4t ESO,100,87.30148191313098,0,3.4902043792187025,56.25485077259577,0,0.04402054292002935,26.81154307486065,0.027046732049201536,0,0,0.6738164114866295,0,0,0
1r BATX,100,95.86334675665967,0,0,5.66615620214395,82.20747546934378,0,7.452782031648801,0.27981018282192355,0.05104645227156713,0,0.1739360595920065,0.026468530807479254,0.005671828030174125,0
2n BATX,100,26.317020281474555,0,0,0,5.710276797482886,0,0.9099026319146223,0.09566733279476168,18.495684340320594,0.0467706960329946,0.021259407287724817,0,1.0289553127258813,0.008503762915089927
1r CFPM,100,77.39911115081402,0,0,0.6007548518212475,0.0982647341268955,0,20.7561917948947,51.42818857895794,4.296848828639703,0.1161310494226947,0.08709828706702101,0.006699868235924693,0.006699868235924693,0.002233289411974898
2n CFPM,100,65.29945678333219,0,0,0.12377088633706938,0.013752320704118819,0,2.203809392835041,21.67021934951523,40.60372687891082,0.4125696211235646,0.030942721584267346,0.0068761603520594095,0.2200371312659011,0.013752320704118819
1r CFPS,100,84.61133224069305,0,0,0.0204870053851557,0.014633575275111216,0,0.28096464528213533,0.023413720440177945,7.951884804495435,76.26434090376961,0,0,0.04390072582533364,0.011706860220088973
2n CFPS,100,25.002914432268593,0,0,0.0029144322685940778,0.0029144322685940778,0,0.2652133364420611,0.04371648402891117,3.310795057122873,21.260783399393798,0,0,0.10783399393798088,0.008743296805782234
1r CFAM,100,85.40646425073457,0,0,1.762977473065622,0,0,1.5670910871694417,0.1958863858961802,0.3917727717923604,0,10.969637610186092,66.79725759059745,3.623898139079334,0.0979431929480901
2n CFAM,100,72.48908296943232,0,0,0.2911208151382824,0.727802037845706,0,1.6011644832605532,0.5822416302765648,6.550218340611353,0.1455604075691412,1.3100436681222707,12.372634643377003,47.45269286754003,1.455604075691412
1r CFAS,100,81.48345784418356,0,0,0,0.16008537886872998,0,0.10672358591248667,0,2.2945570971184632,0.21344717182497333,0,0.05336179295624333,10.138740661686233,68.51654215581644
2n CFAS,100,41.99255121042831,0,0,0,0,0,0.13966480446927373,0.0931098696461825,1.86219739292365,0.186219739292365,0.0931098696461825,0,3.677839851024209,35.940409683426445
Total,100,75.17461702839172,0.4980587567030408,20.191064825904746,12.135557363324375,10.964407772562655,0.11265614734949732,8.852164302468712,7.015039002744067,6.272219942746959,7.9585045904415415,0.20064652770036784,0.18665344834537767,0.2936174956182688,0.49402685248211137
"Font: Departament d'Educació, Estadística de trajectòries educatives",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
3.,Distribució dels alumnes del curs destinació 2023-2024 segons els ensenyaments d'origen 2022-2023,,,,,,,,,,,,,,
,"Catalunya, 2023-2024",,,,,,,,,,,,,,%
Alumnes ensenyaments ,,,,,,,Ensenyaments destinació 2023-2024,,,,,,,,
origen 2022-2023,,Distribució total ,3r ESO,4t ESO,1r BATX,2n BATX,CFPB,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,,26.722593102055754,100,96.51369034334512,0,0,91.78947368421052,0,0,0,0,0,0,0,0
4t ESO,,23.422533789326234,0,3.486309656654881,93.4920262664165,0,8.210526315789474,61.08670024649019,0.07776049766718507,0,0,67.73049645390071,0,0,0
1r BATX,,15.997084842442675,0,0,5.85717636022514,94.05580791693706,0,10.561568963669488,0.5003718980323213,0.1020948347576193,0,10.874704491725769,1.7789072426937738,0.24232633279483037,0
2n BATX,,3.9054908443861134,0,0,0,5.810080034609562,0,1.1467152502411317,0.15214010413144907,32.89722453301066,0.06556204553582072,1.1820330969267139,0,39.09531502423263,0.19203072491598655
1r CFPM,,10.93404929266415,0,0,0.5257191994996873,0.09517629245078954,0,24.900868074161398,77.85516262086686,7.275202299024428,0.15496483490284899,4.609929078014184,0.3811944091486658,0.24232633279483037,0.04800768122899664
2n CFPM,,5.992163147865372,0,0,0.07035647279549719,0.008652390222799048,0,1.7173936341228164,21.30975725201163,44.657036981017924,0.357611157468113,1.0638297872340425,0.25412960609911056,5.169628432956381,0.19203072491598655
1r CFPS,,9.120909630115722,0,0,0.01368042526579112,0.010815487778498811,0,0.2572071589325903,0.02704712962336872,10.273765408757468,77.65526284420073,0,0,1.2116316639741518,0.19203072491598655
2n CFPS,,2.7066165242740503,0,0,0.0019543464665415884,0.002163097555699762,0,0.24381095273818457,0.05071336804381635,4.295545640172427,21.73977828108237,0,0,2.988691437802908,0.14402304368698993
1r CFAM,,0.275110107141505,0,0,0.03517823639774859,0,0,0.042867859822098384,0.00676178240584218,0.01512516070483249,0,13.238770685579196,86.6581956797967,2.988691437802908,0.04800768122899664
2n CFAM,,0.15711563458310723,0,0,0.003908692933083177,0.010815487778498811,0,0.029471653627692638,0.01352356481168436,0.1701580579293655,0.0029800929789009414,1.0638297872340425,10.800508259212197,26.33279483037157,0.4800768122899664
1r CFAS,,0.48175818073976856,0,0,0,0.006489292667099286,0,0.005358482477762298,0,0.16259547757694925,0.011920371915603765,0,0.12706480304955528,15.347334410339256,61.64186269803168
2n CFAS,,0.2845749044055476,0,0,0,0,0,0.008037723716643446,0.00676178240584218,0.15125160704832488,0.011920371915603765,0.2364066193853428,0,6.381260096930533,37.06192990878541
Total,,100,100,100,100,100,100,100,100,100,100,100,100,100,100
"Font: Departament d'Educació, Estadística de trajectòries educatives",,,,,,,,,,,,,,,
