Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
1.,Alumnes del curs origen 2023-2024 segons els ensenyaments de destinació 2024-2025,,,,,,,,,,,,,,
,"Catalunya, 2024-2025",,,,,,,,,,,,,,nombre d'alumnes
Alumnes ensenyaments ,,,,,,,Ensenyaments destinació 2024-2025,,,,,,,,
origen 2023-2024,,Alumnes,3r ESO,4t ESO,1r BATX,2n BATX,CFPB,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,87773,84095,2428,81134,,,504,29,,,,,,,
4t ESO,88710,76281,,3404,49372,,28,22933,17,,,527,,,
1r BATX,53063,50952,,,2901,44037,,3677,194,29,,99,11,4,
2n BATX,47247,12287,,,,2656,,481,60,8622,,16,,452,
1r CFPM,46837,37164,,,221,61,,9591,24881,2324,42,35,3,5,1
2n CFPM,30178,19879,,,37,6,,606,6492,12545,114,12,,67,
1r CFPS,37598,32184,,,2,1,,101,18,2620,29416,1,,24,1
2n CFPS,34909,8393,,,2,,,107,10,914,7329,1,,30,
1r CFAM,989,815,,,14,1,,28,2,9,,104,610,46,1
2n CFAM,779,578,,,2,6,,10,,72,,3,119,364,2
1r CFAS,1776,1490,,,,,,5,1,43,1,2,3,165,1270
2n CFAS,2160,928,,,,,,2,,43,10,2,1,75,795
Alumnes,432019,325046,2428,84538,52551,46768,532,37570,31675,27221,36912,802,747,1232,2070
"Font: Departament d'Educació, Estadística de trajectòries educatives",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
2.,Distribució dels alumnes del curs origen 2023-2024 segons els ensenyaments de destinació 2024-2025,,,,,,,,,,,,,,
,"Catalunya, 2024-2025",,,,,,,,,,,,,,%
Alumnes ensenyaments ,,,,,,,Ensenyaments destinació 2024-2025,,,,,,,,
origen 2023-2024,,Distribució total ,3r ESO,4t ESO,1r BATX,2n BATX,CFPB,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,100,95.80964533512584,2.766226516126827,92.43617057637314,0,0,0.5742084695749262,0.03303977305093821,0,0,0,0,0,0,0
4t ESO,100,85.98951517011484,0,3.837222410100327,55.655506707248335,0,0.031900470531940346,25.851651448540185,0.019163566677939354,0,0,0.5940705670161199,0,0,0
1r BATX,100,96.02171004277932,0,0,5.467086293650944,82.99003071820289,0,6.92949889753689,0.3656031509714867,0.05465201741326348,0,0.18657068013493394,0.020730075570548217,0.007538209298381169,0
2n BATX,100,26.005883971469093,0,0,0,5.621520943128664,0,1.0180540563422016,0.12699218998031622,18.24877770017144,0,0.03386458399475099,0,0.9566744978517154,0
1r CFPM,100,79.34752439310802,0,0,0.471849179067831,0.13023891367935606,0,20.477400345880394,53.12253133206652,4.961889104767598,0.08967269466447467,0.0747272455537289,0.0064051924760339055,0.010675320793389842,0.0021350641586779682
