"Codi municipi","Municipi","Codi Districte BCN","Nom Districte BCN","Codi Àrea Territorial","Àrea Territorial","Codi comarca","Comarca","Disp Canvi Cicle Lliurats","Disp Alta Complexitat Lliurats","Disp Altres Lliurats","Mifi Canvi Cicle Lliurats","Mifi Alta Complexitat Lliurats","Mifi Altres Lliurats","Disp total lliurats","Mifi total lliurats"
"082270","Sant Martí Sarroca",,,"0208","Barcelona Comarques","03","Alt Penedès","6","0","2","6","0","1","8","7"
"082303","Premià de Dalt",,,"0508","Maresme - Vallès Oriental","21","Maresme","19","0","49","5","0","9","68","14"
"082310","Sant Pere de Ribes",,,"0208","Barcelona Comarques","17","Garraf","32","0","19","30","0","19","51","49"
"082346","Sant Pere de Vilamajor",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","3","0","12","2","0","10","15","12"
"082359","Sant Pol de Mar",,,"0508","Maresme - Vallès Oriental","21","Maresme","6","0","24","1","0","7","30","8"
"082362","Sant Quintí de Mediona",,,"0208","Barcelona Comarques","03","Alt Penedès","5","0","5","5","0","5","10","10"
"082378","Sant Quirze de Besora",,,"1060","Catalunya Central","24","Osona","5","0","5","1","0","1","10","2"
"082384","Sant Quirze del Vallès",,,"0408","Vallès Occidental","40","Vallès Occidental","2","0","0","2","0","0","2","2"
"082401","Sant Sadurní d'Anoia",,,"0208","Barcelona Comarques","03","Alt Penedès","1","0","0","1","0","0","1","1"
"082444","Santa Coloma de Cervelló",,,"0308","Baix Llobregat","11","Baix Llobregat","5","0","11","4","0","6","16","10"
"082457","Santa Coloma de Gramenet",,,"0208","Barcelona Comarques","13","Barcelonès","301","151","230","215","48","68","682","331"
"082482","Santa Eulàlia de Ronçana",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","5","0","20","3","0","12","25","15"
"082508","Santa Margarida de Montbui",,,"1060","Catalunya Central","06","Anoia","36","35","1","34","30","1","72","65"
"082515","Santa Margarida i els Monjos",,,"0208","Barcelona Comarques","03","Alt Penedès","21","0","3","9","0","3","24","12"
"082520","Barberà del Vallès",,,"0408","Vallès Occidental","40","Vallès Occidental","29","0","7","16","0","7","36","23"
"082541","L'Esquirol",,,"1060","Catalunya Central","24","Osona","3","0","1","0","0","0","4","0"
"082592","Santa Maria de Palautordera",,,"0508","Maresme - Vallès Oriental","41","Vallès Oriental","20","0","34","15","0","32","54","47"
"082606","Santa Perpètua de Mogoda",,,"0408","Vallès Occidental","40","Vallès Occidental","22","0","40","13","0","34","62","47"
"082613","Santa Susanna",,,"0508","Maresme - Vallès Oriental","21","Maresme","0","0","3","0","0","1","3","1"
"082628","Sant Vicenç de Castellet",,,"1060","Catalunya Central","07","Bages","19","0","9","14","0","8","28","22"
"082634","Sant Vicenç dels Horts",,,"0308","Baix Llobregat","11","Baix Llobregat","73","44","63","53","24","45","180","122"
"082649","Sant Vicenç de Montalt",,,"0508","Maresme - Vallès Oriental","21","Maresme","7","0","12","5","0","3","19","8"
"082665","Cerdanyola del Vallès",,,"0408","Vallès Occidental","40","Vallès Occidental","37","0","42","24","0","27","79","51"
"082671","Sentmenat",,,"0408","Vallès Occidental","40","Vallès Occidental","0","0","0","0","0","0","0","0"
"082732","Subirats",,,"0208","Barcelona Comarques","03","Alt Penedès","1","0","0","1","0","0","1","1"
"082747","Súria",,,"1060","Catalunya Central","07","Bages","7","0","5","6","0","5","12","11"
"082785","Taradell",,,"1060","Catalunya Central","24","Osona","7","0","4","7","0","4","11","11"
"082798","Terrassa",,,"0408","Vallès Occidental","40","Vallès Occidental","476","297","98","335","263","102","871","700"
"082819","Teià",,,"0508","Maresme - Vallès Oriental","21","Maresme","1","0","15","0","0","2","16","2"
"082824","Tiana",,,"0508","Maresme - Vallès Oriental","21","Maresme","10","0","5","6","0","1","15","7"
"082830","Tona",,,"1060","Catalunya Central","24","Osona","5","0","6","1","0","3","11","4"
"082845","Tordera",,,"0508","Maresme - Vallès Oriental","21","Maresme","41","0","55","27","0","38","96","65"
"082858","Torelló",,,"1060","Catalunya Central","24","Osona","19","0","9","16","0","9","28","25"
"082883","Torrelles de Foix",,,"0208","Barcelona Comarques","03","Alt Penedès","4","16","0","4","11","0","20","15"
"082896","Torrelles de Llobregat",,,"0308","Baix Llobregat","11","Baix Llobregat","5","0","8","0","0","8","13","8"
"082900","Ullastrell",,,"0408","Vallès Occidental","40","Vallès Occidental","1","0","0","0","0","0","1","0"
