Comarca codi,Comarca,SSTT codi,SSTT,Municipi codi,Municipi,Districte codi,Naturalesa,Estudis,Nivell,Sexe,Promo/gradua sense pendents juny,'Avaluats',N Avaluats estudi
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,HOME,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,18
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,HOME,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,10
01,ALT CAMP,0143,TARRAGONA,43005,ALCOVER,4300500,PÚBLIC,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,HOME,Repeteixen,Repeteixen,1
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,Promo/gradua amb pendents,Promo/gradua amb pendents,6
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,46
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,5
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Promo/gradua amb pendents,Promo/gradua amb pendents,6
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,38
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,12
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,Repeteixen,Repeteixen,3
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,DONA,Promo/gradua amb pendents,Promo/gradua amb pendents,11
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,DONA,Promo/gradua sense pendents juny,Promo/gradua sense pendents juny,31
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,DONA,Promo/gradua sense pendents setembre,Promo/gradua sense pendents setembre,12
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,DONA,Repeteixen,Repeteixen,2
01,ALT CAMP,0143,TARRAGONA,43161,VALLS,4316100,PRIVAT,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,2,HOME,Promo/gradua amb pendents,Promo/gradua amb pendents,9
