Àrea teritorial codi,Àrea territorial,Comarca codi,Comarca,Municipi codi,Municipi,Districte codi,Naturalesa,Titularitat,Estudis,Curs,Sexe,Concert,Resultat de l'avaluació,Nombre d'avaluats
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ASSOCIACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,HOME,SI,Alumnes avaluats,11
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ASSOCIACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,HOME,SI,Promocionen al mes de juny,3
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ASSOCIACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,HOME,SI,Promocionen al mes de setembre,1
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,ASSOCIACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,4,HOME,SI,S'ha expedit certificat,7
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,FUNDACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,SI,Alumnes avaluats,47
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,FUNDACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,SI,Promocionen al mes de juny,30
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,FUNDACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,SI,Promocionen al mes de setembre,13
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,FUNDACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,DONA,SI,Promocionen amb pendents,4
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,FUNDACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,SI,Alumnes avaluats,58
0108,CONSORCI D'EDUCACIÓ DE BARCELONA,13,BARCELONÈS,08019,BARCELONA,0801901,PRIVAT,FUNDACIONS,EDUCACIÓ SECUNDÀRIA OBLIGATÒRIA,1,HOME,SI,No promocionen,2
