Unnamed: 0,Población ocupada (%),Trabajadores de baja calificación (%),Población con estudios bajos (%),Población joven sin estudios postobligatorios (%),Extranjeros de países de renta baja o media (%),Renta media por persona (€)
Barcelona 34 (el Pilar),68.7,2.7,5.1,5.1,8.6,25256.0
Barcelona 35 (l'Escola Industrial),68.7,3.5,6.8,5.2,11.1,22657.0
Barcelona 36 (les Editorials),69.3,4.1,7.4,6.1,10.4,21901.0
Barcelona 37 (la Model),68.4,5.0,7.9,8.5,11.8,20762.0
Barcelona 38 (Sant Llorenç),67.2,4.8,8.0,8.2,10.8,20952.0
Barcelona 39 (els Llorers),67.6,4.8,7.6,10.0,14.2,19600.0
Barcelona 40 (la Casa Golferics),66.4,5.5,7.7,9.4,15.1,19365.0
Barcelona 41 (l'Escorxador),66.6,5.4,7.7,8.8,13.7,18706.0
Barcelona 42 (Mistral),67.4,5.7,9.5,10.8,14.0,18708.0
Barcelona 43 (els Salesians),68.2,4.5,9.0,10.6,13.8,18966.0
Barcelona 44 (el Price),66.1,4.8,8.7,10.1,14.6,19695.0
Barcelona 45 (el Mercat de Sant Antoni),66.7,6.1,10.2,13.0,15.0,18472.0
Barcelona 46 (els Tres Tombs),67.1,5.9,12.7,15.0,14.8,18074.0
Barcelona 47 (la França Xica),65.4,9.3,13.1,17.4,18.5,14946.0
"Barcelona 48 (Santa Madrona, la Satàlia i Montjuïc)",62.4,10.7,13.3,20.6,23.0,13492.0
Barcelona 49 (les Hortes de Sant Bertran),63.7,8.0,15.5,18.9,18.3,15055.0
Barcelona 50 (Sant Cristòfol i la Marina del Prat Vermell),63.6,9.6,15.8,22.4,11.9,15208.0
"Barcelona 51 (la Mare de Déu de Port, Can Clos i el Polvorí)",62.1,16.0,17.2,30.6,15.0,13028.0
Barcelona 52 (Can Sabater),65.9,10.5,14.6,19.7,14.4,14706.0
Barcelona 53 (la Font de la Guatlla),66.3,8.8,12.5,16.1,16.0,17321.0
Barcelona 54 (l'Alcaldia d'Hostafrancs),65.4,6.8,10.7,14.3,14.5,17587.0
Barcelona 55 (l'Àngel Custodi),64.6,7.7,12.5,17.4,18.9,15745.0
Barcelona 56 (Sant Medir),69.5,6.2,14.2,13.6,10.2,17652.0
Barcelona 57 (Can Batlló),68.0,7.5,13.0,14.1,11.0,16341.0
Barcelona 58 (l'Olivereta),66.8,10.2,14.4,16.0,16.5,15303.0
Barcelona 59 (Badal),66.9,7.5,11.8,11.0,13.0,17835.0
Barcelona 60 (Can Mantega),70.3,4.7,11.2,10.6,10.0,19061.0
Barcelona 61 (el Mercat Nou),68.2,9.0,12.1,14.6,16.0,15836.0
Barcelona 62 (Santa Maria de Sants),47.0,12.0,12.7,14.8,13.1,16906.0
Barcelona 63 (l'Olivera Rodona i l'Espanya Industrial),69.5,5.7,10.1,11.4,12.4,19037.0
Barcelona 64 (Can Novell - Plaça del Centre),69.5,4.9,9.1,7.4,9.9,20530.0
Barcelona 65 (les Infantes i la Colònia Castells),68.1,3.4,7.3,5.5,6.7,23585.0
Barcelona 66 (Loreto i el Camp de la Creu),68.8,2.7,5.5,5.6,6.9,25894.0
"Barcelona 67 (les Corts Noves, Can Rosés, Can Feu i Can Batllori)",68.0,3.0,6.1,5.1,7.0,26105.0
Barcelona 68 (les Corts Velles),71.8,2.6,7.7,5.7,6.3,23818.0
Barcelona 69 (el Sòl de Baix),66.8,4.5,9.7,10.8,7.6,22037.0
Barcelona 70 (Sant Ramon i la Torre Melina),69.5,4.8,9.6,6.4,6.7,21787.0
"Barcelona 71 (Can Bacardí, Collblanc, la Maternitat i Bederrida)",68.0,4.8,10.2,8.5,11.7,20359.0
Barcelona 72 (la Font dels Ocellets i Santa Gemma),65.1,1.7,3.8,2.8,4.5,31999.0
"Barcelona 73 (Pedralbes, la Mercè i el Palau Reial)",56.9,2.4,5.1,5.5,11.4,30413.0
"Barcelona 74 (les Planes, Vallvidrera, el Tibidabo i els barris de Muntanya de Sarrià)",64.9,4.4,7.9,11.1,4.1,25439.0
Barcelona 75 (Sarrià Vell),67.2,2.0,5.5,6.1,4.7,27429.0
"Barcelona 76 (els Caputxins, Can Ponsic i Santa Amèlia)",68.6,2.1,4.2,4.9,4.6,29315.0
Barcelona 77 (Can Ràbia i la Nena Cases),68.5,1.9,4.1,4.5,5.2,31771.0
Barcelona 78 (les Tres Torres),65.6,2.6,3.1,4.9,3.6,34743.0
"Barcelona 79 (la Bonanova, la Torre Vilana i l'Avinguda del Tibidabo)",64.0,3.0,5.1,4.5,6.1,32478.0
Barcelona 80 (Sant Gervasi de Cassoles),65.4,3.0,4.6,8.1,6.5,27096.0
Barcelona 81 (Mandri),69.5,2.4,3.7,3.8,4.9,28668.0
"Barcelona 82 (Can Castelló, Modolell i Can Ballescar)",66.1,2.0,3.7,3.3,4.7,32858.0
Barcelona 83 (el Turó Parc),62.1,2.0,4.1,5.6,6.1,32971.0
Barcelona 84 (Galvany),68.4,2.3,4.9,5.0,7.5,28989.0
Barcelona 85 (Tuset),70.8,1.9,3.3,6.1,7.0,27444.0
Barcelona 86 (Laforja),67.8,2.8,4.2,3.1,6.9,25269.0
Barcelona 87 (Monterols),66.9,1.8,3.7,3.9,5.8,26972.0
Barcelona 88 (el Farró),70.2,2.8,4.8,5.3,7.4,23047.0
Barcelona 89 (el Putxet),68.5,2.9,4.3,6.6,6.9,24275.0
Barcelona 90 (Craywinckel),69.6,3.0,4.3,5.2,7.6,24381.0
Barcelona 91 (els Penitents i el Mas Falcó),70.5,5.2,9.0,8.2,6.7,24082.0
Barcelona 92 (el Pont de Vallcarca),69.4,4.0,6.7,7.8,8.4,21660.0
Barcelona 93 (Vallcarca - la Farigola),68.9,5.4,9.3,10.8,10.9,18809.0
Barcelona 94 (el Coll),68.7,6.3,10.9,13.4,12.0,16945.0
Barcelona 95 (el Coll del Portell),70.0,4.2,8.5,8.2,9.7,19685.0
Barcelona 96 (Sant Josep de la Muntanya),69.3,4.0,8.7,8.2,6.2,21253.0
Barcelona 97 (la Plaça Rovira),69.7,4.2,7.8,8.2,9.8,18868.0
Barcelona 98 (la Plaça del Nord i Can Trilla),68.9,4.4,7.9,6.4,8.4,19935.0
Barcelona 99 (la Llibertat i la Riera de Sant Miquel),65.6,2.9,5.7,6.0,9.3,22104.0
Barcelona 100 (Rius i Taulet),67.2,3.0,7.2,7.6,10.9,19198.0
"Barcelona 101 (el Sol, el Diamant, la Virreina i la Revolució)",68.1,3.7,8.2,6.9,9.9,19085.0
Barcelona 102 (l'Abaceria i la Plaça del Raspall),68.2,4.0,8.7,8.8,10.3,18959.0
Barcelona 103 (Joanic),70.0,5.4,9.0,8.7,9.7,18134.0
Barcelona 104 (el Camp d'en Grassot),70.6,3.0,8.1,5.6,9.0,20433.0
Barcelona 105 (la Sedeta),69.9,3.7,8.2,7.4,8.8,21034.0
Barcelona 106 (Can Romans),70.0,4.3,8.4,9.4,10.1,19047.0
Barcelona 107 (Ca l'Alegre de Dalt),64.0,4.6,9.3,14.0,6.5,20995.0
Barcelona 108 (els Jardins del Príncep de Girona),69.7,5.3,12.1,10.6,10.3,18372.0
Barcelona 109 (el Mas Casanovas),68.3,5.2,10.0,9.5,12.1,18037.0
Barcelona 110 (el Parc de les Aigües),70.0,5.6,10.6,12.1,10.8,17289.0
Barcelona 111 (Can Baró),68.8,7.9,12.0,13.8,10.9,16469.0
Barcelona 112 (el Parc del Guinardó),69.0,7.5,12.4,14.0,13.2,16448.0
Barcelona 113 (el Guinardó i l'Hospital de Sant Pau),70.1,6.7,9.9,10.2,10.5,17666.0
Barcelona 114 (Maragall),69.5,6.5,12.7,13.7,12.5,17356.0
Barcelona 115 (els Quinze),68.1,8.0,11.5,14.6,12.3,16904.0
Barcelona 116 (la Font d'en Fargues i Can Carabassa),71.8,4.8,9.7,8.2,4.8,20795.0
Barcelona 117 (l'Alt Carmel i el Turó de la Rovira),65.3,13.5,18.5,23.2,15.6,12705.0
Barcelona 118 (el Baix Carmel),68.1,12.9,19.4,22.2,14.4,13019.0
Barcelona 119 (la Teixonera),67.0,10.2,16.1,19.1,13.4,14048.0
Barcelona 120 (Sant Genís dels Agudells),66.9,10.4,16.7,18.5,13.8,14606.0
Barcelona 121 (Montbau),67.0,5.5,15.9,13.7,12.1,16264.0
Barcelona 122 (la Vall d'Hebron i la Clota),71.2,5.2,12.9,13.7,7.4,18759.0
Barcelona 123 (l'Eixample d'Horta),67.3,7.5,15.7,14.2,8.4,16868.0
