Unnamed: 0,Población ocupada (%),Trabajadores de baja calificación (%),Población con estudios bajos (%),Población joven sin estudios postobligatorios (%),Extranjeros de países de renta baja o media (%),Renta media por persona (€)
Granollers 7 (Font Verda - Nord),69.2,14.1,13.5,22.3,9.9,15965.0
"Hospitalet de Llobregat 1 (Centre - Ajuntament), l'",69.6,10.9,14.4,21.8,11.6,15805.0
"Hospitalet de Llobregat 2 (Centre - Carretera del Mig), l'",71.9,9.7,14.3,21.4,10.1,16688.0
"Hospitalet de Llobregat 3 (Centre - la Farga), l'",69.1,10.4,15.2,17.8,10.1,16734.0
"Hospitalet de Llobregat 4 (Centre - Nucli Antic), l'",72.5,8.3,13.6,19.1,7.8,16250.0
"Hospitalet de Llobregat 5 (Sant Feliu), l'",68.1,13.8,20.2,25.5,11.9,14505.0
"Hospitalet de Llobregat 6 (Can Serra), l'",64.9,14.9,25.4,26.5,13.3,13506.0
"Hospitalet de Llobregat 7 (la Pubilla Cases - Can Vidalet), l'",60.2,24.0,24.3,39.8,29.0,10272.0
"Hospitalet de Llobregat 8 (la Pubilla Cases - la Bòbila), l'",58.3,26.8,22.6,42.6,32.7,9599.0
"Hospitalet de Llobregat 9 (la Pubilla Cases - Can Rigalt), l'",61.4,21.4,22.2,34.2,27.4,10989.0
"Hospitalet de Llobregat 10 (la Florida - Plaça de la Llibertat), l'",58.4,25.2,24.5,39.1,31.3,9978.0
"Hospitalet de Llobregat 11 (la Florida - Parc dels Ocellets), l'",56.8,26.5,24.0,43.8,35.1,9539.0
"Hospitalet de Llobregat 12 (la Florida - Avinguda de la Primavera), l'",60.0,21.4,25.8,34.7,27.1,11242.0
"Hospitalet de Llobregat 13 (les Planes - el Parc), l'",54.7,25.5,23.1,46.4,31.5,9532.0
Hospitalet de Llobregat 14 (les Planes - Avinguda de Catalunya) l',57.6,22.6,23.2,41.4,29.1,10511.0
"Hospitalet de Llobregat 15 (Collblanc - Centre - Vallparda), l'",58.8,22.9,20.8,35.9,30.4,10388.0
"Hospitalet de Llobregat 16 (Collblanc - Cementiri - Carretera), l'",62.0,16.8,17.9,29.9,25.1,12286.0
"Hospitalet de Llobregat 17 (Collblanc - Mercat), l'",61.7,16.8,19.0,30.5,25.7,12637.0
"Hospitalet de Llobregat 18 (la Torrassa - Plaça dels Pirineus), l'",59.5,20.4,19.3,33.0,30.0,10837.0
"Hospitalet de Llobregat 19 (la Torrassa - Plaça del Vidre), l'",58.2,22.1,20.9,37.8,31.8,10181.0
"Hospitalet de Llobregat 20 (la Torrassa - el Parc), l'",58.3,23.4,20.2,38.2,32.8,9615.0
"Hospitalet de Llobregat 21 (Sant Josep - Centre), l'",69.4,12.8,17.2,24.2,9.3,14809.0
"Hospitalet de Llobregat 22 (Sant Josep - Tecla Sala), l'",66.5,16.8,19.1,27.9,14.7,13026.0
"Hospitalet de Llobregat 23 (Santa Eulàlia - Església), l'",69.7,11.1,15.2,24.1,14.9,14610.0
"Hospitalet de Llobregat 24 (Santa Eulàlia - Mercat), l'",68.1,10.4,15.4,20.7,12.8,15760.0
"Hospitalet de Llobregat 25 (Santa Eulàlia - Centre Nord), l'",67.8,13.2,17.4,29.6,16.5,13439.0
"Hospitalet de Llobregat 26 (Santa Eulàlia - Centre Sud - Ciutat de la Justícia), l'",68.5,10.5,14.2,21.6,12.5,15139.0
"Hospitalet de Llobregat 27 (Plaça d'Europa - Fira - Residencial Granvia), l'",66.1,10.1,12.5,23.9,14.4,14970.0
"Hospitalet de Llobregat 28 (el Gornal), l'",64.9,16.9,18.4,34.7,6.3,13248.0
"Hospitalet de Llobregat 29 (Bellvitge - Estació), l'",67.1,16.0,23.1,32.5,11.6,13372.0
"Hospitalet de Llobregat 30 (Bellvitge - Mercat), l'",68.2,12.8,23.6,25.2,9.0,14154.0
"Hospitalet de Llobregat 31 (Bellvitge - Ermita i Hospital), l'",65.0,14.8,22.3,25.5,13.3,13446.0
Igualada 1 (Centre-sud),63.5,14.5,13.7,27.7,17.7,13900.0
Igualada 2 (Centre-oest i Oest),68.7,10.4,15.1,22.4,8.8,15890.0
Igualada 3 (Sud-est),61.0,14.9,15.7,34.2,15.0,13116.0
Igualada 4 (Centre-nord i Nord-est),72.2,6.8,8.5,12.1,4.2,16729.0
"Llagosta 1 (Centre-est), la",63.1,21.4,24.0,39.4,13.7,12152.0
"Llagosta 2 (Oest i Exterior), la",70.5,15.3,15.7,26.0,7.3,14374.0
Lliçà d'Amunt 1 (Oest - Urbanitzacions),73.0,12.4,11.6,20.5,1.9,15580.0
Lliçà d'Amunt 2 (Est - Nucli Urbà),73.2,11.8,11.6,19.8,2.7,17251.0
Malgrat de Mar 1 (Oest i Litoral),63.9,12.2,15.4,29.7,9.5,14161.0
Malgrat de Mar 2 (Nord-est),62.5,16.6,16.7,33.4,10.3,12534.0
Manlleu 1 (Centre-nord),60.5,27.2,25.1,44.6,29.0,11646.0
"Manlleu 2 (Est, Sud i Oest)",66.6,20.2,18.0,34.7,17.9,14094.0
Manresa 1 (Antic i Districte Censal 6),52.3,20.8,19.0,44.9,27.4,11692.0
Manresa 2 (el Passeig i Rodalies),63.6,13.3,12.7,23.8,15.1,16585.0
Manresa 3 (Can Saldes i Plaça de Catalunya),63.2,15.3,15.2,28.9,19.6,14508.0
Manresa 4 (Valldaura),60.5,16.0,16.3,34.9,23.6,12740.0
"Manresa 5 (el Poble Nou - Mion, Puigberenguer i Miralpeix)",64.9,12.3,13.6,28.1,13.7,16025.0
Manresa 6 (Carretera de Santpedor),68.2,12.6,11.6,23.5,12.2,15407.0
Manresa 7 (Vic i el Remei - el Guix - la Pujada Roja),59.6,18.3,16.4,32.2,22.3,13236.0
Manresa 8 (la Sagrada Família - la Font dels Capellans - Viladordis),64.2,16.5,18.3,32.9,16.0,13361.0
Manresa 9 (les Escodines - la Balconada - Cal Gravat - Sant Pau),60.6,17.5,16.9,34.0,14.4,13228.0
Martorell 1 (Oest),70.3,8.7,12.3,15.3,5.3,16730.0
Martorell 2 (Est i Sud),58.8,20.4,22.8,45.0,25.0,11993.0
Martorell 3 (Centre-sud),57.4,25.9,27.7,47.1,24.7,11128.0
"Masnou 1 (Centre-oest), el",69.9,5.3,8.1,10.8,6.0,19242.0
"Masnou 2 (Est), el",69.3,7.7,8.8,13.1,8.4,18465.0
"Masnou 3 (Nord-oest), el",69.0,11.0,15.2,17.8,5.5,15399.0
Mataró 1 (Centre),71.7,7.3,8.5,15.3,7.8,17699.0
Mataró 2 (Eixample - Districte Censal 1),73.3,5.1,8.4,12.0,5.5,19299.0
Mataró 3 (Eixample - Districtes Censals 2 i 3),70.8,7.3,10.6,16.9,7.2,16698.0
Mataró 4 (Eixample - Districte Censal 6),70.5,7.7,10.5,16.1,8.3,16293.0
Mataró 5 (Escorxador - el Palau),56.5,21.1,22.1,38.7,27.7,11599.0
Mataró 6 (els Molins),68.1,14.4,16.7,25.6,7.6,12474.0
Mataró 7 (Rocafonda),54.4,23.3,28.6,44.2,31.1,9604.0
Mataró 8 (Vista Alegre),72.7,8.8,12.2,15.2,2.9,16176.0
Mataró 9 (Cirera),71.6,10.6,13.9,21.7,6.2,14267.0
Mataró 10 (la Llàntia),70.5,14.6,16.5,23.3,5.3,13448.0
Mataró 11 (Cerdanyola Nord),63.5,17.6,21.6,37.5,17.3,11585.0
Mataró 12 (Cerdanyola Sud),56.3,24.8,28.5,47.7,29.5,9695.0
Mataró 13 (Peremàs),66.0,14.4,19.0,25.0,11.6,13995.0
Mataró 14 (Pla d'en Boet),61.3,15.8,19.0,31.0,12.9,12988.0
Molins de Rei 1 (Centre Sud - Canal - Mariona),72.6,8.4,10.6,11.9,6.2,15620.0
Molins de Rei 2 (Centre Nord - la Granja),73.8,7.1,10.1,12.0,5.9,17018.0
Molins de Rei 3 (Font dels Casats - Bonavista - la Pau - el Pla),72.8,7.3,9.0,10.7,3.6,19389.0
Mollet del Vallès 1 (Estació de França - Estació del Nord - el Calderí),65.6,17.7,19.7,32.8,13.6,14001.0
Mollet del Vallès 2 (el Centre - la Riera Seca - la Casilla),71.3,11.4,13.7,24.5,6.7,15947.0
Mollet del Vallès 3 (Can Pantiquet - el Tir Olímpic - Lourdes),67.9,14.1,17.1,27.5,7.7,14630.0
Mollet del Vallès 4 (la Plana Lledó),64.0,23.2,21.5,43.1,17.7,11956.0
Mollet del Vallès 5 (Can Borrell - Gallecs - Santa Rosa),72.6,11.7,10.0,17.3,3.1,15540.0
Mollet del Vallès 6 (els Col·legis Nous),65.0,17.3,19.5,33.6,14.7,14327.0
Montcada i Reixac 1 (Montcada Centre),69.5,13.2,16.2,22.6,11.3,15096.0
Montcada i Reixac 2 (Reixac - Vallençana - la Ribera),59.8,18.3,22.0,41.1,23.0,11643.0
Montcada i Reixac 3 (Can Sant Joan - Can Cuiàs),63.4,16.6,16.7,36.3,14.9,11859.0
Montcada i Reixac 4 (Terra Nostra - la Font Pudenta),67.0,13.5,15.3,27.0,9.1,14901.0
Montcada i Reixac 5 (Mas Rampinyo - Can Pomada - Carrerada - Pla d'en Coll),75.1,10.4,12.2,19.6,7.4,14937.0
Montgat 1 (Barris de Llevant),73.1,4.5,6.8,10.2,7.5,18906.0
Montgat 2 (Barris de Ponent),71.2,8.1,11.9,16.5,4.8,15820.0
Montmeló,70.5,13.2,17.5,19.5,6.2,15060.0
Montornès del Vallès 1 (Nord),57.5,31.3,27.7,52.8,26.4,10128.0
Montornès del Vallès 2 (Centre i Sud),72.6,13.3,14.4,23.4,5.6,15321.0
Olesa de Montserrat 1 (Centre),67.7,13.5,16.4,28.1,11.2,14165.0
Olesa de Montserrat 2 (Est),68.7,11.5,13.1,24.0,6.2,15197.0
Olesa de Montserrat 3 (Oest),68.9,11.4,12.9,28.0,6.5,14715.0
Palau-solità i Plegamans 1 (Sud),74.0,11.8,9.2,18.7,4.2,17108.0
Palau-solità i Plegamans 2 (Nord),70.9,12.8,12.4,18.2,5.5,16096.0
Pallejà 1 (Nucli Urbà Nord),73.5,9.4,12.8,19.3,4.9,15118.0
Pallejà 2 (Nucli Urbà Sud - la Magina - Fontpineda),72.8,6.8,10.0,13.8,3.9,18288.0
Parets del Vallès 1 (Sud),71.6,12.5,14.0,22.5,6.6,16493.0
Parets del Vallès 2 (Nord),74.0,11.5,12.5,18.9,4.8,16010.0
Piera 1 (Exterior i Urbanitzacions),66.5,14.4,12.2,31.0,5.3,13925.0
Piera 2 (Nucli Urbà),65.2,16.5,16.2,34.7,10.1,12862.0
Pineda de Mar 1 (Litoral Central i Interior),62.8,12.4,16.5,29.0,9.3,13273.0
Pineda de Mar 2 (Litoral Sud-oest),60.3,14.2,18.9,36.3,14.3,11994.0
Pineda de Mar 3 (Litoral Nord-est),60.0,13.8,18.7,34.5,13.7,13074.0
Polinyà,74.7,13.0,11.1,29.4,6.3,14794.0
"Prat de Llobregat 1 (Nucli Antic Oest), el",69.3,15.7,16.1,27.2,10.6,14656.0
"Prat de Llobregat 2 (Nucli Antic Est), el",71.2,11.3,13.9,21.1,8.4,16821.0
"Prat de Llobregat 3 (Eixample Est - Barceloneta - les Palmeres), el",73.8,10.1,14.4,15.5,5.5,16348.0
"Prat de Llobregat 4 (Eixample Nord), el",71.2,14.0,15.9,21.4,9.6,15470.0
"Prat de Llobregat 5 (Eixample Sud), el",70.7,14.8,16.0,24.4,7.8,14775.0
"Prat de Llobregat 6 (Eixample Oest), el",68.5,15.1,17.4,23.8,8.7,14837.0
"Prat de Llobregat 7 (Sant Jordi - Ribera Baixa - Mas Mateu), el",72.1,13.1,13.4,20.2,4.6,14729.0
"Prat de Llobregat 8 (Sant Cosme - la Granja), el",55.3,28.1,20.0,50.4,6.4,10598.0
Premià de Mar 1 (Est),70.6,6.3,10.0,12.4,4.5,18101.0
Premià de Mar 2 (Interior Central),64.7,17.6,18.6,30.9,17.2,12176.0
Premià de Mar 3 (Oest),69.3,7.4,11.1,13.2,6.1,17085.0
Ripollet 1 (Centre - Maragall),64.7,17.9,17.1,32.7,12.1,12902.0
Ripollet 2 (Can Clos - els Pinetons),69.2,10.0,12.1,22.1,5.4,15062.0
Ripollet 3 (Sant Andreu - Can Vargas),69.1,14.1,13.5,25.8,7.7,14395.0
Ripollet 4 (Can Mas),64.1,17.8,20.6,40.6,17.9,11926.0
Ripollet 5 (Can Tiana-Pont Vell),64.8,16.1,16.4,31.4,18.5,12806.0
Ripollet 6 (Sant Lluís),77.8,9.6,9.8,21.4,4.4,14825.0
"Roca del Vallès, la",73.7,9.2,10.8,16.8,3.1,17635.0
Rubí 1 (Districte 1 Nord-oest),71.1,10.1,9.7,22.3,4.2,15120.0
Rubí 2 (Districte 2 Sud-oest),67.3,12.3,12.5,22.4,6.0,15304.0
Rubí 3 (Districte 3 Sud),64.0,17.9,14.5,28.0,15.3,12877.0
Rubí 4 (Districte 4 Centre),66.0,15.0,13.6,26.2,14.5,14124.0
Rubí 5 (Districte 5 Nord Central),67.3,14.7,13.9,27.6,11.5,13579.0
Rubí 6 (Districte 6 Est),66.0,15.1,14.2,26.6,13.7,14026.0
Rubí 7 (Districte 5 Nord-est),67.7,13.1,12.7,26.4,10.1,13878.0
"Sabadell 1 (Centre, Ajuntament-Maristes)",74.5,4.2,7.6,9.2,6.3,21518.0
"Sabadell 2 (Centre, Escola Pia-Hostafrancs)",73.3,4.5,7.9,9.7,4.9,20642.0
"Sabadell 3 (Centre, Museu d'Art-Imperial)",74.7,3.9,7.0,8.6,5.1,21707.0
Sabadell 4 (Covadonga),70.9,8.2,10.4,17.3,8.4,16588.0
Sabadell 5 (Avinguda - Eixample),70.7,7.6,13.4,16.7,8.5,16623.0
Sabadell 6 (Sol i Padrís - Nostra Llar),68.6,9.9,17.5,21.1,9.9,14981.0
Sabadell 7 (Can Puiggener),52.8,25.6,24.5,53.0,27.0,9218.0
Sabadell 8 (la Creu Alta Oest - Eix Macià),70.3,7.4,12.9,13.7,8.4,17825.0
Sabadell 9 (la Creu Alta Est - Taulí),70.6,7.4,11.4,18.2,8.2,17351.0
Sabadell 10 (Ca n'Oriac - Torreguitart - Torrent del Capellà),61.9,18.6,20.9,36.0,15.3,12191.0
Sabadell 11 (Can Deu - la Plana del Pintor),61.8,19.1,20.3,35.1,10.7,12156.0
Sabadell 12 (la Roureda - Sant Julià),65.2,16.9,19.6,26.3,7.4,13475.0
Sabadell 13 (Can Llong - Castellarnau),78.1,7.1,7.9,16.8,3.6,16334.0
Sabadell 14 (Can Rull Nord - Via Alexandra),65.1,17.7,18.7,29.4,11.6,12732.0
Sabadell 15 (Can Rull Sud - Cifuentes),66.0,15.9,19.4,36.8,14.6,12229.0
Sabadell 16 (la Concòrdia),66.4,12.7,16.3,23.8,11.8,14598.0
Sabadell 17 (Can Feu - els Merinals - la Serra d'en Camaró),64.8,14.7,16.1,32.3,14.2,13260.0
Sabadell 18 (Gràcia),73.9,7.2,10.2,17.1,8.8,16262.0
Sabadell 19 (la Creu de Barberà Oest),63.1,17.6,18.9,33.1,17.0,12039.0
Sabadell 20 (la Creu de Barberà Est - les Termes),63.6,19.1,19.9,34.8,19.6,11925.0
Sabadell 21 (Campoamor - Espronceda),57.1,22.0,22.4,45.0,21.6,10637.0
Sabadell 22 (Torre-romeu - Can Roqueta - el Poblenou),58.2,21.9,22.5,46.4,15.4,10735.0
Sant Adrià de Besòs 1 (Sant Adrià Nord - sector Església-Ajuntament),68.1,10.9,14.6,22.5,12.6,14760.0
Sant Adrià de Besòs 2 (Sant Adrià Nord - sector els Encants),66.4,10.8,15.5,25.3,12.7,13842.0
Sant Adrià de Besòs 3 (Sant Joan Baptista - la Marina del Besòs),69.5,12.6,15.8,27.9,10.6,13448.0
Sant Adrià de Besòs 4 (la Mina - la Catalana),53.3,23.1,18.4,54.2,14.2,10427.0
Sant Adrià de Besòs 5 (el Besòs - Via Trajana-Montsolís),62.1,17.8,22.0,33.2,16.6,12046.0
Sant Andreu de la Barca 1 (Centre),69.4,16.6,18.4,29.8,13.6,13835.0
Sant Andreu de la Barca 2 (la Solana),69.7,17.0,14.8,24.4,9.4,13272.0
Sant Andreu de la Barca 3 (Estació - Raval de Corbera - la Creu de Susalba),69.3,14.1,15.0,22.9,9.8,14505.0
Sant Andreu de la Barca 4 (el Palau),71.1,8.7,14.1,13.3,2.3,16956.0
Sant Andreu de Llavaneres,67.2,6.6,7.7,13.6,7.6,19344.0
Sant Boi de Llobregat 1 (Centre),68.8,11.0,14.4,22.9,10.9,14782.0
Sant Boi de Llobregat 2 (Nucli Antic),70.5,9.6,11.8,21.1,9.5,16071.0
Sant Boi de Llobregat 3 (Vinyets Sud - Molí Vell - les Salines),70.1,13.5,15.3,22.6,9.0,14285.0
Sant Boi de Llobregat 4 (Vinyets Nord),70.8,11.9,16.2,23.4,8.0,14912.0
Sant Boi de Llobregat 5 (Casablanca),66.1,17.9,17.1,29.3,12.6,12724.0
Sant Boi de Llobregat 6 (Camps Blancs),64.9,18.9,18.9,38.6,9.8,12403.0
Sant Boi de Llobregat 7 (Marianao - Parc - Can Carreras - Benviure),73.3,8.5,12.2,14.8,3.0,17933.0
Sant Boi de Llobregat 8 (Marianao - Centre),69.9,11.9,16.3,23.9,9.8,13959.0
Sant Boi de Llobregat 9 (Marianao - Salesians),67.1,14.3,15.1,25.8,11.1,13489.0
Sant Boi de Llobregat 10 (Marianao - l'Hospital),70.2,10.2,13.4,16.2,3.8,15618.0
Sant Boi de Llobregat 11 (Ciutat Cooperativa),67.6,15.6,22.0,27.9,11.3,13450.0
Sant Celoni 1 (Nucli Urbà Nord - Exterior),69.1,11.8,12.6,24.0,6.9,14816.0
Sant Celoni 2 (Nucli Urbà Sud),66.3,15.9,16.2,30.3,12.3,14682.0
Sant Cugat del Vallès 1 (Nucli Antic),68.9,7.1,8.6,10.7,11.9,18429.0
Sant Cugat del Vallès 2 (Torreblanca - Torrenegra - Sol i Aire - Sant Medir),66.7,2.3,3.1,3.4,3.8,27114.0
Sant Cugat del Vallès 3 (Vila del Prat - Eixample Sud - Can Trabal),65.1,6.6,7.2,10.7,8.4,23293.0
Sant Cugat del Vallès 4 (la Floresta - les Planes - Collserola - Can Burrull - Can Cortès),64.5,6.6,6.6,15.0,4.9,18252.0
Sant Cugat del Vallès 5 (Valldoreix - Colònia Montserrat - Can Galopa),67.2,3.1,5.0,7.1,3.9,27612.0
Sant Cugat del Vallès 6 (Mirasol - Mas Gener - Can Cabassa - Can Fontanals - les Casetes de Can Ravella),69.5,3.0,4.4,5.1,3.5,25396.0
Sant Cugat del Vallès 7 (Turó de Can Mates - Bell Indret - Colònia Oller - Can Gatxet),74.2,1.7,2.1,3.3,5.3,25137.0
Sant Cugat del Vallès 8 (Parc Central - el Colomer - Pla de la Pagesa - Can Majó),67.7,1.9,2.3,3.2,3.4,30611.0
Sant Cugat del Vallès 9 (Can Sant Joan - Sant Mamet - Vullpalleres - Can Barata - Sector Nord - Can Graells),76.1,1.9,2.8,4.6,7.6,21639.0
Sant Cugat del Vallès 10 (Roquetes - Coll Favà - Sant Domènec),73.4,2.5,2.6,4.8,4.0,22962.0
Sant Cugat del Vallès 11 (Sant Francesc - Can Magí el Coll),70.1,7.9,12.1,14.9,12.3,16454.0
Sant Feliu de Llobregat 1 (Can Nadal - Can Maginàs),71.2,7.1,11.1,12.8,5.2,19213.0
Sant Feliu de Llobregat 2 (la Salut),67.5,15.7,21.5,25.7,9.5,13052.0
Sant Feliu de Llobregat 3 (Can Calders),67.8,13.8,16.1,24.8,10.8,13921.0
Sant Feliu de Llobregat 4 (Mas Lluhí),71.7,4.5,6.0,8.5,2.1,20824.0
Sant Feliu de Llobregat 5 (Roses - Castellbell),72.4,9.2,13.8,17.1,6.1,17007.0
Sant Feliu de Llobregat 6 (Can Falguera - el Pla - Palau - Bon Salvador),73.2,9.3,11.2,18.7,6.0,15171.0
Sant Feliu de Llobregat 7 (Can Falguera - Parc del Llobregat - Eixample - l'Armentera),74.6,8.4,14.4,18.0,5.4,15830.0
Vilassar de Dalt,70.2,9.7,11.3,12.7,4.6,18269.0
Sant Joan Despí 1 (Nucli Antic - Centre),73.1,8.4,14.0,15.0,6.1,16352.0
Sant Joan Despí 2 (Nucli Antic - Bon Viatge),72.7,6.9,12.1,11.9,4.8,17718.0
Sant Joan Despí 3 (Nucli Antic - Eixample),80.6,3.6,5.9,7.4,2.4,20994.0
Sant Joan Despí 4 (Pla del Vent - Sant Joan - les Mossotes),72.5,5.6,8.0,10.3,5.0,19412.0
Sant Joan Despí 5 (les Planes),67.6,17.3,21.7,27.9,13.2,12633.0
Sant Joan de Vilatorrada,71.4,13.5,17.6,25.7,8.8,14792.0
Vilassar de Mar 1 (Litoral i Est),71.5,4.4,8.1,10.2,4.4,19809.0
Vilassar de Mar 2 (Interior i Nord),71.1,6.6,10.5,15.0,4.8,17917.0
Sant Just Desvern 1 (Centre - Bellsoleig - la Plana - la Miranda),75.7,2.9,6.0,8.8,4.3,24080.0
Sant Just Desvern 2 (Nord - Carretera - les Basses de Sant Pere),66.5,4.8,9.1,8.3,5.9,24237.0
Sant Just Desvern 3 (Can Sagrera - Sud),68.6,5.4,7.1,10.2,5.4,22542.0
Premià de Dalt,70.1,9.3,11.0,12.7,6.1,19148.0
Sant Pere de Ribes 1 (Nucli Urbà i Exterior Oest),64.9,8.6,10.9,20.3,7.6,15727.0
Sant Pere de Ribes 2 (les Roquetes),65.3,16.5,16.5,39.5,11.4,11557.0
Sant Pere de Ribes 3 (Urbanitzacions i Exteriors Est i Sud),64.6,8.3,8.8,22.4,5.8,17371.0
Sant Quirze del Vallès 1 (Exterior i Urbanitzacions),73.0,5.1,5.9,10.5,3.0,22056.0
Sant Quirze del Vallès 2 (Nucli Urbà),73.4,6.4,8.9,12.3,5.1,18870.0
Sant Sadurní d'Anoia 1 (Districte Censal 1),72.4,10.9,14.3,17.0,8.3,15912.0
Sant Sadurní d'Anoia 2 (Districte Censal 2),72.2,9.8,14.0,18.7,7.1,17039.0
Santa Coloma de Gramenet 1 (Centre),69.5,11.9,17.1,26.4,9.2,14261.0
Santa Coloma de Gramenet 2 (Sagarra - Rambla de Sant Sebastià),66.4,13.3,20.2,29.5,15.5,14239.0
Santa Coloma de Gramenet 3 (Can Mariner),60.2,18.3,24.9,43.8,26.4,10667.0
Santa Coloma de Gramenet 4 (Riu Sud - Torre Balldovina),62.9,15.2,25.8,35.0,16.8,12545.0
Santa Coloma de Gramenet 5 (Riu Sud - Pont de Santa Coloma),67.3,13.8,19.5,32.1,14.6,13049.0
Santa Coloma de Gramenet 6 (Riu Nord),69.6,10.8,18.1,24.9,10.5,14613.0
Santa Coloma de Gramenet 7 (Singuerlin - Can Zam),67.9,14.3,18.8,29.6,9.8,13219.0
Santa Coloma de Gramenet 8 (les Oliveres - Can Franquesa),63.2,20.3,21.2,38.7,11.1,11274.0
Santa Coloma de Gramenet 9 (la Guinardera - Singuerlin Est - Torribera),68.9,11.3,19.3,24.8,5.0,14392.0
Santa Coloma de Gramenet 10 (Cementiri Vell - la Riera Alta - Llatí Nord),67.7,13.1,17.4,31.6,8.3,13203.0
Santa Coloma de Gramenet 11 (Llatí),64.0,17.0,24.4,40.4,18.8,11418.0
Santa Coloma de Gramenet 12 (Rambla del Fondo),60.2,20.1,29.7,50.1,38.3,9808.0
Santa Coloma de Gramenet 13 (el Fondo Alt),55.8,25.1,30.1,53.6,46.0,8278.0
Santa Coloma de Gramenet 14 (Santa Rosa - Pirineus),58.9,22.6,26.5,48.1,31.0,9576.0
Santa Coloma de Gramenet 15 (Santa Rosa - Pont de Potosí),59.7,21.0,25.0,45.2,25.1,10297.0
Santa Coloma de Gramenet 16 (el Raval - Safaretjos),58.7,19.0,22.3,41.7,25.8,10192.0
Santa Margarida de Montbui,63.1,16.0,19.3,38.3,11.1,11972.0
Barberà del Vallès 1 (Centre Nord - Can Llobet - Parc Central),70.4,10.9,11.7,21.3,6.6,15231.0
Barberà del Vallès 2 (la Romànica - Can Rabella - Molí d'en Santo - Parc d'Europa),73.9,9.3,9.2,21.5,7.1,14922.0
"Barberà del Vallès 3 (Barri Antic - Polígons Ronda Santa Maria, Santiga i Salvatella)",68.7,14.6,12.0,27.0,7.0,14090.0
Barberà del Vallès 4 (Centre Sud - Can Serra),69.1,13.0,12.7,24.2,8.4,14467.0
Barberà del Vallès 5 (Can Gorgs - Ca n'Esteper),68.3,9.5,13.0,20.3,5.3,17113.0
Santa Perpètua de Mogoda 1 (Nucli Urbà),64.4,18.2,17.1,30.6,14.7,13363.0
Santa Perpètua de Mogoda 2 (Exterior i Urbanitzacions),72.9,10.2,12.1,18.4,3.4,15959.0
Sant Vicenç dels Horts 1 (Nucli Antic - la Vinyala - el Poble Nou),70.4,10.8,14.2,19.2,6.1,14906.0
Sant Vicenç dels Horts 2 (Sant Roc - Sant Antoni),69.7,10.2,13.4,21.8,5.5,15359.0
Sant Vicenç dels Horts 3 (la Guàrdia - Sant josep),62.1,17.3,17.0,33.5,9.0,12689.0
Sant Vicenç dels Horts 4 (la Vailet - Can Ros - Molí dels Frares),68.2,12.7,18.3,24.3,7.6,14122.0
Cerdanyola del Vallès 1 (Centre - Sant Ramon - Parcers - Guiera),72.2,9.7,10.9,12.2,6.6,17522.0
Cerdanyola del Vallès 2 (les Fontetes),66.2,14.8,17.9,19.4,12.5,13152.0
Cerdanyola del Vallès 3 (Altamira - Turonet - Canaletes),70.3,6.9,9.0,8.9,2.9,18121.0
Cerdanyola del Vallès 4 (Santa Rosa - Gorgs - Montflorit),60.1,7.1,8.9,10.5,4.0,16873.0
Cerdanyola del Vallès 5 (Serraparera - Bellaterra),61.7,5.5,11.2,10.5,7.8,22271.0
Cerdanyola del Vallès 6 (la Clota - Cerdanyola 2000 - Banús),67.5,13.0,14.7,17.8,8.1,14109.0
Cerdanyola del Vallès 7 (Cordelles - Can Xarau),68.4,9.8,13.3,17.3,6.9,15682.0
Cerdanyola del Vallès 8 (la Sínia - Catalunya - Carretera de Barcelona),73.0,10.1,9.3,15.5,8.9,15792.0
Sentmenat,74.3,12.2,10.8,20.1,5.1,15420.0
Sitges 1 (Centre Urbà),58.1,7.1,10.9,17.5,11.5,16356.0
Sitges 2 (Exterior i Urbanitzacions),61.5,5.8,6.7,13.7,6.9,20767.0
Sitges 3 (Est),61.0,4.0,4.2,10.8,7.6,22991.0
Terrassa 1 (Cementiri Vell),70.3,9.3,12.6,20.0,10.5,15986.0
Terrassa 2 (Centre - Plaça Vella),72.7,4.4,9.6,11.4,5.7,21510.0
Terrassa 3 (Centre - Estació del Nord),73.6,4.2,7.1,10.0,4.1,19665.0
Terrassa 4 (Vallparadís - Antic Poble de Sant Pere),70.1,7.2,10.7,15.3,7.2,17905.0
Terrassa 5 (Plaça de Catalunya - Escola Industrial),66.9,11.6,16.7,23.5,15.6,14911.0
Terrassa 6 (Ca n'Anglada),51.1,21.8,25.3,48.4,34.3,9714.0
Terrassa 7 (Torre-sana - Montserrat - Can Vilardell),63.6,13.7,13.1,39.5,15.5,11768.0
Terrassa 8 (Can Palet),64.5,15.4,17.3,31.8,17.2,12452.0
Terrassa 9 (Can Jofresa - Can Palet II - Guadalhorce - Xúquer),56.7,18.6,20.3,39.2,16.2,11366.0
Terrassa 10 (Can Parellada - les Fonts),66.5,13.1,15.5,30.7,6.4,14034.0
Terrassa 11 (Segle XX),73.2,7.0,9.6,21.7,9.9,16055.0
Terrassa 12 (Ca n'Aurell Est),70.0,7.5,9.8,16.3,9.3,18417.0
Terrassa 13 (Ca n'Aurell Oest),72.2,9.6,12.2,19.5,9.0,15901.0
Terrassa 14 (la Cogullada),68.6,11.5,14.6,29.1,11.5,13616.0
Terrassa 15 (la Maurina),61.6,17.2,19.6,37.2,19.3,11650.0
