origen 2017-2018,,Distribució total ,3r ESO,4t ESO,1r BATX,2n BATX,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,100,93.96644055694395,4.595297597796706,89.1620339674606,0,0,0.20655888203192735,0,0,0,0.002550109654715153,0,0,0
4t ESO,100,87.96045843674186,0,4.22325088536293,61.067733749756,0,22.14104458882909,0,0,0,0.5284292127938429,0,0,0
1r BATX,100,94.12353445810696,0,0.00612770129498754,6.999877445974101,78.87577106907962,7.6882225581110335,0.24102291760284325,0.10621348911311736,0,0.18995874014461375,0.00204256709832918,0.014297969688304261,0
2n BATX,100,27.150840558379137,0,0,0.016098245291263254,9.240392797185107,0.8670054964008923,0.08049122645631626,15.77168088678334,0.06209323183772969,0.025297242600556536,0.002299749327323322,1.0854816824966078,0
1r CFPM,100,73.59301358469642,0,0.002772387025228722,0.6293318547269199,0.15802606043803716,20.091488771832548,46.47906847795952,5.863598558358747,0.2550596063210424,0.10535070695869143,0.002772387025228722,0.005544774050457444,0
2n CFPM,100,61.379538773651305,0,0,0.2277149836459239,0.06624435887881422,3.2625346747816004,28.700368484246262,28.377427234712044,0.6169005920589575,0.028981907009481226,0,0.09522626588829546,0.004140272429925889
1r CFPS,100,83.97516765155035,0,0,0.009959498041298719,0.019918996082597437,0.35522209680632094,0.1527123032999137,8.72784011685811,74.64975765221433,0.0033198326804329066,0,0.04647765752606069,0.009959498041298719
2n CFPS,100,28.37007240547064,0,0,0.016090104585679808,0.009654062751407885,0.3829444891391794,0.061142397425583264,3.266291230893001,24.52131938857603,0,0,0.0997586484312148,0.012872083668543846
1r CFAM,100,79.84595635430038,0,0,1.1553273427471118,0.12836970474967907,2.1822849807445444,0,0,0,12.58023106546855,63.1578947368421,0.6418485237483954,0
2n CFAM,100,59.22818791946308,0,0,0,0.16778523489932887,1.5100671140939599,0,1.5100671140939599,0.16778523489932887,0.5033557046979865,19.798657718120804,34.56375838926174,1.006711409395973
1r CFAS,100,80.38416763678696,0,0,0,0,0.3492433061699651,0,1.3969732246798603,0.11641443538998836,0.05820721769499418,0.17462165308498254,12.922002328288706,65.36670547147845
2n CFAS,100,43.64471669218989,0,0,0,0,0.1531393568147014,0,1.6334864726901481,0.20418580908626852,0.05104645227156713,0,3.9816232771822357,37.62123532414497
Total,100,74.06919685798903,0.9765270428084094,19.769253487886893,12.879101941944871,11.574717595640854,7.7165687159102925,6.479923481898754,5.307494926340489,8.231927882231489,0.1717863887737324,0.16690917268867375,0.2872138361201204,0.5077723857444393
