origen 2021-2022,,Distribució total ,3r ESO,4t ESO,1r BATX,2n BATX,CFPB,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,100,95.12330057089048,2.5542934494732505,92.33005708904714,0,0,0.23895003237007828,0,0,0,0,0,0,0,0
4t ESO,100,88.25052292604887,0,3.6472019464720193,58.04866180048662,0,0.03884409393208169,25.899026763990268,0,0,0,0.6167883211678832,0,0,0
1r BATX,100,94.92045093383686,0,0,5.780627792630261,80.94935407280002,0,7.655779693020995,0.2131279328460057,0.04299949522331695,0,0.24491016844584867,0.026173605788105965,0.007478173082315989,0
2n BATX,100,25.557119653492148,0,0,0,6.4623714131023275,0,1.0438548998375743,0.05197617758527341,16.833784515430427,0.03898213318895506,0.03898213318895506,0.004331348132106118,1.0828370330265296,0
1r CFPM,100,76.028393266458,0,0,0.520050279742686,0.08626426441229389,0,20.252384590737684,50.760357873462645,4.197372636975329,0.09612303748798462,0.09119365095013926,0.0049293865378453655,0.01725285288245878,0.0024646932689226827
2n CFPM,100,63.799228389166885,0,0,0.10695595706482294,0.019099278047289812,0,2.7732151724664806,23.373696474273274,36.7011726956721,0.5653386301997785,0.026738989266205736,0.003819855609457963,0.22919133656747773,0
1r CFPS,100,83.57024604669749,0,0,0.008563110121596162,0.011417480162128218,0,0.29685448421533367,0.11417480162128218,7.7381971798824,75.34395158988411,0.0028543700405320544,0,0.04281555060798082,0.011417480162128218
2n CFPS,100,25.244520386518975,0,0,0.008838086259721895,0.0029460287532406316,0,0.38003770916804147,0.026514258779165682,3.4851520150836675,21.22024510959227,0,0,0.11489512137638463,0.005892057506481263
1r CFAM,100,86.88147295742233,0,0,1.9562715765247412,0.5753739930955121,0,2.6467203682393556,0.34522439585730724,0.23014959723820483,0,15.18987341772152,62.83084004602992,2.991944764096663,0.11507479861910241
2n CFAM,100,76.82926829268294,0,0,0.1524390243902439,0.6097560975609756,0,1.524390243902439,0,5.487804878048781,0,1.8292682926829267,19.664634146341463,46.79878048780488,0.7621951219512195
1r CFAS,100,82.06638115631691,0,0,0,0,0,0.3747323340471092,0.05353319057815846,1.6595289079229123,0,0.16059957173447537,0,11.991434689507495,67.82655246252676
2n CFAS,100,45.79831932773109,0,0,0,0,0,0.31512605042016806,0,0.9453781512605042,0.15756302521008403,0.26260504201680673,0.21008403361344538,3.571428571428571,40.33613445378151
Total,100,74.78018663907454,0.5320635730153048,19.967585804445793,12.52212845044453,11.36139621327658,0.05786497844774744,8.6032473041295,6.59685273362985,5.660960264413529,8.28915816263982,0.20914757040647694,0.17114302947681231,0.306488233303747,0.502150321444859
