origen 2023-2024,,Distribució total ,3r ESO,4t ESO,1r BATX,2n BATX,CFPB,1r CFPM,2n CFPM,1r CFPS,2n CFPS,1r CFAM,2n CFAM,1r CFAS,2n CFAS
3r ESO,100,95.80964533512584,2.766226516126827,92.43617057637314,0,0,0.5742084695749262,0.03303977305093821,0,0,0,0,0,0,0
4t ESO,100,85.98951517011484,0,3.837222410100327,55.655506707248335,0,0.031900470531940346,25.851651448540185,0.019163566677939354,0,0,0.5940705670161199,0,0,0
1r BATX,100,96.02171004277932,0,0,5.467086293650944,82.99003071820289,0,6.92949889753689,0.3656031509714867,0.05465201741326348,0,0.18657068013493394,0.020730075570548217,0.007538209298381169,0
2n BATX,100,26.005883971469093,0,0,0,5.621520943128664,0,1.0180540563422016,0.12699218998031622,18.24877770017144,0,0.03386458399475099,0,0.9566744978517154,0
1r CFPM,100,79.34752439310802,0,0,0.471849179067831,0.13023891367935606,0,20.477400345880394,53.12253133206652,4.961889104767598,0.08967269466447467,0.0747272455537289,0.0064051924760339055,0.010675320793389842,0.0021350641586779682
2n CFPM,100,65.87248989329976,0,0,0.12260587182715886,0.019882033269269003,0,2.0080853601961697,21.512359997349062,41.57001789382994,0.37775863211611105,0.03976406653853801,0,0.22201603817350388,0
1r CFPS,100,85.60029788818555,0,0,0.005319431884674717,0.0026597159423373583,0,0.26863131017607317,0.047874886962072455,6.968455768923879,78.23820415979573,0.0026597159423373583,0,0.0638331826160966,0.0026597159423373583
2n CFPS,100,24.042510527371164,0,0,0.005729181586410381,0,0,0.3065112148729554,0.028645907932051903,2.618235984989544,20.99458592340084,0.0028645907932051905,0,0.08593772379615572,0
1r CFAM,100,82.40647118301314,0,0,1.4155712841253791,0.10111223458038424,0,2.8311425682507583,0.20222446916076847,0.910010111223458,0,10.51567239635996,61.67846309403438,4.651162790697675,0.10111223458038424
2n CFAM,100,74.19768934531452,0,0,0.25673940949935814,0.7702182284980745,0,1.2836970474967908,0,9.242618741976894,0,0.38510911424903727,15.275994865211809,46.72657252888318,0.25673940949935814
1r CFAS,100,83.8963963963964,0,0,0,0,0,0.28153153153153154,0.05630630630630631,2.421171171171171,0.05630630630630631,0.11261261261261261,0.16891891891891891,9.29054054054054,71.509009009009
2n CFAS,100,42.96296296296296,0,0,0,0,0,0.0925925925925926,0,1.990740740740741,0.4629629629629629,0.0925925925925926,0.0462962962962963,3.4722222222222223,36.80555555555556
Total,100,75.23882051483845,0.5620123189026408,19.568120846536843,12.164048340466508,10.825449806605727,0.1231427321483546,8.696376779724964,7.331853460148744,6.300880285357819,8.544068663646739,0.18563998342665486,0.17290906186996405,0.28517264286987376,0.47914559313363536
